"Last","First"
"Aalen","OddOlai"
"Abbott","Edith"
"Abelson","RobertP"
"Abramovitz","Moses"
"Achenwall","Gottfried"
"Adelstein","AbrahamManie"
"Ahsan","Riaz"
"Aitchison","John"
"Aitken","Alexander"
"Akaike","Hirotsugu"
"Ali","MirMasoom"
"Allen","RGD"
"Allison","DavidB"
"Altman","Doug"
"Amemiya","Takeshi"
"Anderson","Oskar"
"Anderson","TheodoreWilbur"
"Anscombe","Francis"
"Anselin","Luc"
"Armitage","Peter"
"Arrow","Kenneth"
"AshleyCooper","Anthony"
"Austin","OscarPhelps"
"Ayres","LeonardPorter"
"Bahadur","RaghuRaj"
"Balding","David"
"Barnard","GeorgeAlfred"
"Barnett","WilliamA"
"Bartels","Julius"
"Bartlett","MS"
"Bascand","Geoff"
"Basu","Debabrata"
"Baxter","Laurence"
"Bayes","Thomas"
"Beale","Calvin"
"Behm","Ernst"
"Benjamin","Bernard"
"Berger","James"
"Berkson","Joseph"
"Berry","Don"
"Best","AlfredM"
"Beveridge","William"
"Bhat","BR"
"Bhat","PNMari"
"Bhat","UNarayan"
"Bingham","Christopher"
"Birnbaum","Allan"
"Bisika","ThomasJohn"
"Blackwell","David"
"Bliss","ChesterIttner"
"Block","Maurice"
"Bloom","DavidE"
"Bodio","Luigi"
"Bodmer","Walter"
"Bonferroni","CarloEmilio"
"Booth","Charles"
"Boreham","John"
"Bortkiewicz","Ladislaus"
"Bose","RC"
"Botha","Roelof"
"Bowley","ArthurLyon"
"Box","GeorgeEP"
"Boyle","Phelim"
"Brad","IonIonescudela"
"Brassey","Thomas"
"Breiman","Leo"
"Breslow","Norman"
"Brooks","Steve"
"Brown","LawrenceD"
"Burgess","WarrenRandolph"
"Chand","Rattan"
"Cai","TTony"
"Caird","James"
"Caldwell","John"
"Cam","LucienLe"
"Campion","Harry"
"Carver","HarryC"
"Castles","Ian"
"Chakrabarti","MC"
"Chalmers","George"
"JohnMChambers","Champernowne"
"DG","Charles"
"Enid","Charlier"
"Carl","Chebyshev"
"Pafnuty","Chen"
"LouisHsiaoYun","Chernoff"
"Herman","Chervonenkis"
"Alexey","Chow"
"YuanShih","Chuprov"
"AlexanderAlexandrovich","Chuprov"
"AlexanderIvanovich","Clark"
"Colin","Clarke"
"RichardWB","Clayton"
"David","Coale"
"AnsleyJ","Coats"
"RobertH","Cochran"
"WilliamGemmell","Cockfield"
"Arthur","Coghlan"
"TimothyAugustine","Cohen"
"Jacob","Cohen"
"JoelE","Coifman"
"Ronald","Coleman"
"David","Cook"
"Len","Cordeiro"
"GaussMoutinho","Cornfield"
"Jerome","Courtney"
"Leonard","Cover"
"ThomasM","Cox"
"David","Cox"
"GertrudeMary","Cox"
"Harald","Crome"
"AugustFriedrichWilhelm","Crosby"
"James","Cudmore"
"Sedley","Cunliffe"
"Stella","Czekanowski"
"Jan","Daniels"
"Henry","Dantzig"
"Davidvan","Dantzig"
"George","Darwin"
"John","David"
"FlorenceNightingale","Davies"
"Griffith","Davis"
"Kingsley","Dawid"
"Philip","Daykin"
"Christopher","DeGroot"
"MorrisH","Deming"
"WEdwards","Dempster"
"Alain","Dewey"
"DavisRich","Diaconis"
"Persi","Dilke"
"SirCharles","Dodge"
"HaroldF","Dodson"
"James","Doll"
"SirRichard","Donnelly"
"Peter","Donoho"
"David","Doob"
"JosephLeo","Dublin"
"LouisIsrael","Duckworth"
"Frank","Dudley"
"RichardM","Duncan"
"DavidF","Duncan"
"OtisDudley","Dunn"
"HalbertL","Dunnell"
"Karen","Dunnett"
"Charles","Durbin"
"James","Dvoretzky"
"Aryeh","Easton"
"Brian","Eckler"
"ARoss","Eckler"
"ARossJr","Eden"
"SirFrederick","Edgeworth"
"FrancisYsidro","Edwards"
"AWF","Efron"
"Bradley","Eisenhart"
"Churchill","Elderton"
"EthelM","Elderton"
"WilliamPalin","Elston"
"RobertC","Engel"
"Ernst","Engle"
"RobertF","Erlang"
"AK","Erritt"
"John","Ezekiel"
"Mordecai","Fabri"
"JohannErnst","Fallati"
"Johannes","Fan"
"Jianqing","Farr"
"William","Farrer"
"Thomas","Fechner"
"Gustav","Fellegi"
"Ivan","Feller"
"William","Fernique"
"Xavier","Fienberg"
"Stephen","Finetti"
"Brunode","Finlaison"
"John","Finney"
"DJ","Fisher"
"Irving","Fisher"
"SirRonaldA","Fleetwood"
"William","Fleiss"
"JosephL","Flux"
"AWilliam","Foot"
"David","Fowler"
"Henry","Fox"
"John","Frankel"
"Lester","Franscini"
"Stefano","Freedman"
"DavidA","Freedman"
"Ronald","Friedman"
"Milton","Frigessi"
"ArnoldodiRattalma","Gain"
"AnilKumar","Gallant"
"ARonald","Gallup"
"George","Galton"
"Francis","Gauquelin"
"Michel","Geary"
"RoyC","Geisser"
"Seymour","Geman"
"Donald","Ghosh"
"JayantaKumar","Ghysels"
"Eric","Giblin"
"Lyndhurst","Giffen"
"Robert","Gill"
"RichardD","Gini"
"Corrado","Glass"
"David","Glass"
"GeneV","Goldman"
"Samuel","Goldstein"
"Harvey","Gompertz"
"Benjamin","Good"
"IJ","Good"
"Phillip","Goodnight"
"James","Goschen"
"George","Gosset"
"WilliamSealy","Granger"
"Clive","Graunt"
"John","Gray"
"MaryW","Grebenik"
"Eugene","Green"
"Peter","Greenland"
"Sander","Greenwood"
"Major","Griffiths"
"Robert","Griliches"
"Zvi","Grimmett"
"Geoffrey","Guerry"
"EmilJulius","Guttman"
"Louis","Guy"
"William","Gy"
"Pierre","Haberman"
"Jaroslav","Hajnal"
"John","Hald"
"Anders","Hastie"
"Trevor","Hall"
"PeterGavin","Halmos"
"Paul","Hamilton"
"LordGeorge","Hand"
"David","Hardin"
"Garrett","Harris"
"Ted","Hartley"
"HermanOtto","Hayter"
"HenryHeylyn","Healy"
"Michael","Hedges"
"LarryV","Hein"
"Jotun","Helmert"
"FriedrichRobert","Henderson"
"CharlesRoy","Heyde"
"Chris","Hibbert"
"SirJack","Hickman"
"JamesC","Hilbe"
"Joseph","Hill"
"AustinBradford","Hill"
"JosephAdna","Hinkley"
"DavidV","Hjort"
"NilsLid","Hoeffding"
"Wassily","Hoem"
"Jan","Hollander"
"Myles","Hollerith"
"Herman","Holmes"
"Chris","Holt"
"Tim","Holtsmark"
"GabrielGabrielsen","Hogben"
"Lancelot","Hooker"
"ReginaldHawthorn","Hotelling"
"Harold","Huff"
"Darrell","Hunter"
"SirWilliamWilson","Hunter"
"William","Hutchinson"
"Col","Huzurbazar"
"VS","Ihaka"
"Ross","Iman"
"RonaldL","Irwin"
"JosephOscar","Ishikawa"
"Kaoru","Isserlis"
"Leon","Jacoby"
"Oswald","Jaffrey"
"Thomas","James"
"Bill","Jaynes"
"EdwinThompson","Jefferys"
"WilliamH","Jeffreys"
"Harold","Jellinek"
"EMorton","Jenkins"
"Gwilym","Jevons"
"WilliamStanley","Jobson"
"Alexander","Johnson"
"NormanLloyd","Johnston"
"RobertMackenzie","Jones"
"Edward","JonesLoyd"
"Samuel","Jordan"
"KarlGustav","Jouffret"
"Esprit","Juran"
"JosephM","Jurin"
"James","Kac"
"Mark","Kempthorne"
"Oscar","Kendall"
"DavidGeorge","Kendall"
"SirMaurice","Kennedy"
"JosephCG","Khattree"
"Ravindra","Khmaladze"
"EstateV","Kiefer"
"AndersNicolai","King"
"Gregory","King"
"WillfordI","Kingman"
"John","Kish"
"Leslie","Knibbs"
"Bogoljub","Kolmogorov"
"AndreyNikolaevich","Koopman"
"Bernard","Kott"
"Phillip","Krewski"
"Dan","Krumbein"
"WilliamC","Kruskal"
"Joseph","Kruskal"
"EugeneM","Kullback"
"Solomon","Kulldorff"
"HansRudolf","Kurnow"
"Ernest","Kuzmicich"
"Steve","Kuznets"
"Simon","Lah"
"Ivo","Laird"
"Nan","Laslett"
"Peter","Laspeyres"
"Mark","Law"
"John","Lawler"
"GregoryFrancis","Lawrence"
"Charles","Lehmann"
"ErichLeo","Lemon"
"Charles","Leontief"
"Wassily","Levit"
"Boris","Lewis"
"Tony","Lexis"
"Wilhelm","Li"
"CC","Li"
"DavidX","Likert"
"Rensis","Lilliefors"
"Hubert","Lindeberg"
"JarlWaldemar","Lindley"
"DennisV","Lindstedt"
"Anders","Lindstrom"
"FrederickB","Linnik"
"Yuri","Liu"
"Jun","Longman"
"Phillip","Lord"
"FredericM","Lorenz"
"MaxO","Lotka"
"Michel","Lubbock"
"John","Lundberg"
"Filip","Luntz"
"Frank","MacGregor"
"JohnF","Mahalanobis"
"PrasantaChandra","Manwar"
"KhandakarHossain","Mallet"
"Bernard","Malthus"
"ThomasRobert","Mannheimer"
"Renato","Mantel"
"Nathan","Mardia"
"Kantilal","Marpsat"
"Maryse","Marquardt"
"Donald","Marquis"
"Frederick","Marschak"
"Jacob","Marshall"
"Herbert","Martin"
"SirRichard","Massey"
"Kenneth","Masuyama"
"Motosaburo","Mauchly"
"John","McClintock"
"Emory","McCrossan"
"Paul","McCullagh"
"Peter","McEvedy"
"Colin","McKendrick"
"AndersonGray","McLennan"
"Bill","McNemar"
"Quinn","McVean"
"Gilean","Meeker"
"Royal","Meier"
"Paul","Meng"
"XiaoLi","Mihoc"
"Gheorghe","Milliken"
"GeorgeA","Milliman"
"Wendell","Milne"
"Joshua","Milnes"
"RichardMonckton","Mitchell"
"WesleyClair","Mitofsky"
"Warren","Mohn"
"Jakob","Moivre"
"Abrahamde","Molina"
"EdwardC","Moore"
"HenryLudwell","Moran"
"Pat","Mores"
"EdwardRowe","Morgan"
"William","Morris"
"Carl","Morrison"
"WinifredJ","Moser"
"Claus","Mosteller"
"Frederick","Mouat"
"FredericJ","Moyal"
"Susan","Nair"
"VijayanN","Nason"
"Guy","Neill"
"CharlesP","Nelder"
"John","Nesbitt"
"CecilJ","Newmarch"
"William","Neyman"
"Jerzy","Nightingale"
"Florence","Niyogi"
"Partha","Noether"
"GottfriedE","Nordling"
"CarlO","Notestein"
"FrankW","Ogburn"
"WilliamFielding","Olshansky"
"SJay","Onicescu"
"Octav","Onslow"
"William","Orshansky"
"Mollie","Paine"
"George","Pakington"
"John","Panaretos"
"John","Parzen"
"Emanuel","Pearl"
"Raymond","Pearson"
"Egon","Pearson"
"Karl","Peirce"
"CharlesSanders","Pereira"
"Julian","Peto"
"Richard","Petty"
"William","PettyFitzmaurice"
"Jan","Pillai"
"KCSreedharan","Pillai"
"VijayanK","Pink"
"Brian","Pitman"
"EJG","Plackett"
"Robin","Playfair"
"Stuart","Pollak"
"HenryO","Polson"
"Nicholas","Preston"
"SamuelH","Price"
"Richard","Priestley"
"Maurice","Princet"
"Maurice","Punnett"
"George","Quetelet"
"Adolphe","ChandRattan"
"Raftery","Adrian"
"Raghavarao","D"
"Raiffa","Howard"
"Ralescu","Stefan"
"Rao","CR"
"Rasch","Georg"
"Redington","Frank"
"Reid","Nancy"
"Rhodes","EC"
"Rice","ThomasSpring"
"Richardson","Sylvia"
"Rickman","John"
"Ripley","BrianDaniel"
"Robbins","Herbert"
"Roberts","GarethO"
"Roberts","HarryV"
"Robertson","StuartA"
"Robine","JeanMarie"
"Robins","James"
"Robinson","ClaudeE"
"Rosenthal","Jeff"
"Roy","BimalKumar"
"Roy","SN"
"Rubin","Donald"
"Rubinow","IM"
"Rubinstein","Reuven"
"Ruggles","Steven"
"Russell","John"
"Ryder","Dudley"
"Sagarin","Jeff"
"Saha","Jahar"
"Salsburg","David"
"Samuel","Herbert"
"Sanders","William"
"Savage","LeonardJimmie"
"Sawilowsky","Shlomo"
"Schlaifer","Robert"
"Schultz","Henry"
"Schuster","Arthur"
"Schweder","Tore"
"Scott","Elizabeth"
"Scurfield","HughHedley"
"Searle","ShayleR"
"Sebastiani","Paola"
"SemyonovTyanShansky","Pyotr"
"Shah","BV"
"Shapley","Lloyd"
"ShawLefevre","George"
"Shepp","Lawrence"
"Sheppard","WilliamFleetwood"
"Shewhart","WalterA"
"Shrikhande","SS"
"Sichel","Herbert"
"Siegel","Sidney"
"Silver","Nate"
"Silverman","Bernard"
"Simon","LeslieEarl"
"Sinclair","SirJohn"
"Sirkeci","Ibrahim"
"Slutsky","Eugen"
"Smith","AFM"
"Smith","Cedric"
"Smith","WalterL"
"Snedecor","GeorgeW"
"Snyder","Carl"
"Sokal","RobertR"
"Spearman","Charles"
"Speed","Terry"
"Spengler","JosephJ"
"Spiegelhalter","David"
"Srivastava","JN"
"Stamp","Josiah"
"Stanley","JulianCJr"
"Stanley","Edward"
"Steele","JMichael"
"Steffensen","JohanFrederik"
"Stein","Charles"
"Stephens","Matthew"
"Stigler","Stephen"
"Stone","Richard"
"Stouffer","SamuelA"
"Stoyan","Dietrich"
"Sykes","WilliamHenry"
"Sylvester","JamesJoseph"
"Sztrem","EdwardSzturmde"
"ShyamaprasadMukherjee","India"
"Taguchi","Genichi"
"Teitelbaum","Michael"
"Telser","LesterG"
"Thiele","ThorvaldN"
"Thorndike","RobertL"
"Thornton","JohnWingate"
"Thorp","Willard"
"Thurstone","LouisLeon"
"Tibshirani","Robert"
"Tippett","LeonardHenryCaleb"
"Tobin","James"
"Todd","Emmanuel"
"Tong","Howell"
"Trewin","Dennis"
"Tufte","Edward"
"Tukey","John"
"Utts","Jessica"
"Uyanto","StanislausS"
"Vapnik","Vladimir"
"Vaupel","James"
"Villani","Giovanni"
"Visman","Jan"
"Wahba","Grace"
"Wald","Abraham"
"Walker","FrancisAmasa"
"Walker","Gilbert"
"Wallace","Chris"
"Wallis","WAllen"
"Wanless","Derek"
"Watson","Geoffrey"
"Wedderburn","Robert"
"Wegman","Edward"
"Weibull","Waloddi"
"Weinstock","Arnold"
"Weldon","WalterFrankRaphael"
"Welton","ThomasA"
"WentworthFitzwilliam","Charles"
"Westergaard","HaraldLudvig"
"Wheeler","DonaldJ"
"Whittle","Peter"
"Wilcoxon","Frank"
"Wilk","Martin"
"Wilkinson","Leland"
"Wilks","SamuelS"
"Willcox","WalterFrancis"
"Wilson","EdwinBidwell"
"Wilson","Harold"
"Wishart","John"
"Wold","Herman"
"Wolfowitz","Jacob"
"Wood","GeorgeHenry"
"Woolhouse","WesleySB"
"Working","Holbrook"
"Wright","CarrollD"
"Wright","Elizur"
"Wright","Sewall"
"Wrigley","EA"
"Wu","JeffCF"
"Yates","Frank"
"Young","AllynAbbott"
"Young","Arthur"
"Young","Hilton"
"Yule","GUdny"
"Zaman","Arif"
"Zarnowitz","Victor"
"Zellner","Arnold"
"lists","outlines"
"people","timelines"
